,x,y,u
0,0.0,0.0,0.0
1,0.01,0.0,0.013530373457042515
2,0.02,0.0,0.02703368638952178
3,0.03,0.0,0.04048293805261044
4,0.04,0.0,0.05385124712670616
5,0.05,0.0,0.06711191109518753
6,0.06,0.0,0.08023846522217874
7,0.07,0.0,0.09320474100003179
8,0.08,0.0,0.1059849239388069
9,0.09,0.0,0.11855361057320123
10,0.1,0.0,0.13088586456611534
11,0.11,0.0,0.14295727179231862
12,0.12,0.0,0.154743994290431
13,0.13,0.0,0.16622282297662885
14,0.14,0.0,0.17737122901904442
15,0.15,0.0,0.18816741377768648
16,0.16,0.0,0.19859035722078966
17,0.17,0.0,0.20861986473470095
18,0.18,0.0,0.21823661225064825
19,0.19,0.0,0.22742218961787908
20,0.2,0.0,0.23615914215860995
21,0.21,0.0,0.244431010345848
22,0.22,0.0,0.2522223675503227
23,0.23,0.0,0.2595188558073497
24,0.24,0.0,0.2663072195583375
25,0.25,0.0,0.2725753373246924
26,0.26,0.0,0.2783122512739902
27,0.27,0.0,0.28350819463936155
28,0.28,0.0,0.2881546169530204
29,0.29,0.0,0.2922442070537018
30,0.3,0.0,0.2957709138254851
31,0.31,0.0,0.2987299646220913
32,0.32,0.0,0.301117881326355
33,0.33,0.0,0.3029324939893423
34,0.34,0.0,0.30417295198770794
35,0.35,0.0,0.30483973263163266
36,0.36,0.0,0.30493464714938
37,0.37,0.0,0.30446084396852013
38,0.38,0.0,0.3034228092086222
39,0.39,0.0,0.3018263642961427
40,0.4,0.0,0.29967866060981824
41,0.41,0.0,0.29698817106454206
42,0.42,0.0,0.2937646785439278
43,0.43,0.0,0.29001926109690523
44,0.44,0.0,0.28576427382209785
45,0.45,0.0,0.2810133273756223
46,0.46,0.0,0.27578126305346884
47,0.47,0.0,0.2700841244187835
48,0.48,0.0,0.26393912546706555
49,0.49,0.0,0.25736461534829225
50,0.5,0.0,0.2503800396939222
51,0.51,0.0,0.24300589862815924
52,0.52,0.0,0.23526370157622756
53,0.53,0.0,0.22717591901710357
54,0.54,0.0,0.21876593136354602
55,0.55,0.0,0.2100579751877147
56,0.56,0.0,0.20107708704559218
57,0.57,0.0,0.19184904518729598
58,0.58,0.0,0.18240030947280142
59,0.59,0.0,0.17275795984332343
60,0.6,0.0,0.16294963372754842
61,0.61,0.0,0.15300346278919144
62,0.62,0.0,0.1429480094483053
63,0.63,0.0,0.13281220363398713
64,0.64,0.0,0.12262528025145261
65,0.65,0.0,0.11241671787303216
66,0.66,0.0,0.10221617919195193
67,0.67,0.0,0.09205345381165113
68,0.68,0.0,0.0819584039841581
69,0.69,0.0,0.07196091396155999
70,0.7,0.0,0.06209084368843225
71,0.71,0.0,0.052377987644749796
72,0.72,0.0,0.04285203975402934
73,0.73,0.0,0.033542565407720853
74,0.74,0.0,0.024478981833952727
75,0.75,0.0,0.015690548269724245
76,0.76,0.0,0.007206367698210668
77,0.77,0.0,-0.0009445976887094541
78,0.78,0.0,-0.008733494614451899
79,0.79,0.0,-0.016131527034357884
80,0.8,0.0,-0.02310988029937108
81,0.81,0.0,-0.02963961552351044
82,0.82,0.0,-0.03569152672017677
83,0.83,0.0,-0.041235950763017934
84,0.84,0.0,-0.046242516655806254
85,0.85,0.0,-0.05067981542018209
86,0.86,0.0,-0.0545149642544763
87,0.87,0.0,-0.057713027027344044
88,0.88,0.0,-0.06023623515578867
89,0.89,0.0,-0.06204292405386172
90,0.9,0.0,-0.063086052430604
91,0.91,0.0,-0.0633110888156898
92,0.92,0.0,-0.06265289887026725
93,0.93,0.0,-0.06103097521709117
94,0.94,0.0,-0.05834174149401086
95,0.95,0.0,-0.05444525625835114
96,0.96,0.0,-0.04913998659624612
97,0.97,0.0,-0.04210840571291189
98,0.98,0.0,-0.03277861087432415
99,0.99,0.0,-0.0199004113200402
100,1.0,0.0,0.0
101,0.0,0.01,0.0
102,0.01,0.01,0.013044216144448688
103,0.02,0.01,0.026062590833176788
104,0.03,0.01,0.03902933933555983
105,0.04,0.01,0.05191879024438338
106,0.05,0.01,0.06470544182136068
107,0.06,0.01,0.0773640179650147
108,0.07,0.01,0.0898695236780087
109,0.08,0.01,0.1021972999135136
110,0.09,0.01,0.11432307768329049
111,0.1,0.01,0.1262230313138083
112,0.11,0.01,0.1378738307408769
113,0.12,0.01,0.14925269273790778
114,0.13,0.01,0.16033743097796563
115,0.14,0.01,0.17110650483518403
116,0.15,0.01,0.18153906683681612
117,0.16,0.01,0.1916150086830903
118,0.17,0.01,0.20131500575806383
119,0.18,0.01,0.21062056006069985
120,0.19,0.01,0.21951404149133452
121,0.2,0.01,0.227978727434432
122,0.21,0.01,0.23599884058391984
123,0.22,0.01,0.243559584962331
124,0.23,0.01,0.25064718008931036
125,0.24,0.01,0.2572488932586645
126,0.25,0.01,0.26335306988589374
127,0.26,0.01,0.268949161889958
128,0.27,0.01,0.2740277540737834
129,0.28,0.01,0.27858058846765266
130,0.29,0.01,0.28260058659809056
131,0.3,0.01,0.2860818696421661
132,0.31,0.01,0.28901977642331456
133,0.32,0.01,0.29141087919994
134,0.33,0.01,0.29325299719233083
135,0.34,0.01,0.2945452077870274
136,0.35,0.01,0.2952878553509715
137,0.36,0.01,0.2954825575808903
138,0.37,0.01,0.2951322093067801
139,0.38,0.01,0.2942409836624956
140,0.39,0.01,0.29281433053176736
141,0.4,0.01,0.29085897217493384
142,0.41,0.01,0.2883828959407644
143,0.42,0.01,0.28539534396940136
144,0.43,0.01,0.28190679979707295
145,0.44,0.01,0.27792897178115994
146,0.45,0.01,0.27347477327567704
147,0.46,0.01,0.26855829950240884
148,0.47,0.01,0.26319480108182225
149,0.48,0.01,0.2574006542103824
150,0.49,0.01,0.25119332749675943
151,0.5,0.01,0.2445913454983004
152,0.51,0.01,0.23761424903055875
153,0.52,0.01,0.23028255235608555
154,0.53,0.01,0.22261769739344728
155,0.54,0.01,0.2146420051229124
156,0.55,0.01,0.20637862440077354
157,0.56,0.01,0.1978514784292492
158,0.57,0.01,0.18908520916279858
159,0.58,0.01,0.18010511996407585
160,0.59,0.01,0.17093711685336835
161,0.6,0.01,0.1616076487241197
162,0.61,0.01,0.15214364692413762
163,0.62,0.01,0.14257246462765744
164,0.63,0.01,0.13292181644814902
165,0.64,0.01,0.1232197187664573
166,0.65,0.01,0.11349443127467809
167,0.66,0.01,0.10377440026454168
168,0.67,0.01,0.09408820422181544
169,0.68,0.01,0.08446450232760207
170,0.69,0.01,0.07493198651617845
171,0.7,0.01,0.06551933780065922
172,0.71,0.01,0.05625518765662778
173,0.72,0.01,0.04716808535547966
174,0.73,0.01,0.03828647227070813
175,0.74,0.01,0.029638664351053414
176,0.75,0.01,0.021252844176733465
177,0.76,0.01,0.013157064305575691
178,0.77,0.01,0.005379263997589135
179,0.78,0.01,-0.0020526980890327637
180,0.79,0.01,-0.009110991965907572
181,0.8,0.01,-0.015767740979906696
182,0.81,0.01,-0.02199491768561951
183,0.82,0.01,-0.027764203854208844
184,0.83,0.01,-0.03304680521060985
185,0.84,0.01,-0.03781320819064463
186,0.85,0.01,-0.0420328612715719
187,0.86,0.01,-0.045673756500530426
188,0.87,0.01,-0.04870187650094146
189,0.88,0.01,-0.05108045643467367
190,0.89,0.01,-0.0527689856317772
